date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:57	334/334	---M--	200	added ('OK')	text/plain	etag:%225fd57a4d94145cadea22a631578d11c1%22	https://doc.rust-lang.org/robots.txt		(from )
00:45:57	28616/28616	---MCZ	200	added ('OK')	text/html	etag:W/%22fb1976d035cc0f6a7da45a9625a6b762%22	https://doc.rust-lang.org/book/	./rust-book/doc.rust-lang.org/book/index.html	(from )
00:45:58	1835/1835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ab545f5294e510e3574d29bf08fc719%22	https://doc.rust-lang.org/book/favicon.svg	./rust-book/doc.rust-lang.org/book/favicon.svg	(from https://doc.rust-lang.org/book/)
00:45:58	5679/5679	---M--	200	added ('OK')	image/png	etag:%2299aa04c6ee89063ee9fe65f6544e3d0b%22	https://doc.rust-lang.org/book/favicon.png	./rust-book/doc.rust-lang.org/book/favicon.png	(from https://doc.rust-lang.org/book/)
00:46:00	6563/6563	---MCZ	200	added ('OK')	text/css	etag:W/%22c334a509c331903c690e4de31c48734e%22	https://doc.rust-lang.org/book/css/variables.css	./rust-book/doc.rust-lang.org/book/css/variables.css	(from https://doc.rust-lang.org/book/)
00:46:01	5221/5221	---MCZ	200	added ('OK')	text/css	etag:W/%228de8d00503b9aefe95e7664220c0afb3%22	https://doc.rust-lang.org/book/css/general.css	./rust-book/doc.rust-lang.org/book/css/general.css	(from https://doc.rust-lang.org/book/)
00:46:02	13183/13183	---MCZ	200	added ('OK')	text/css	etag:W/%220b4de1e8bc8c65ef7a998af9e09b6de3%22	https://doc.rust-lang.org/book/css/chrome.css	./rust-book/doc.rust-lang.org/book/css/chrome.css	(from https://doc.rust-lang.org/book/)
00:46:02	661/661	---M--	200	added ('OK')	text/css	etag:%222a2f46b85b31b59241844528d6d6f05b%22	https://doc.rust-lang.org/book/css/print.css	./rust-book/doc.rust-lang.org/book/css/print.css	(from https://doc.rust-lang.org/book/)
00:46:04	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://doc.rust-lang.org/book/FontAwesome/css/font-awesome.css	./rust-book/doc.rust-lang.org/book/FontAwesome/css/font-awesome.css	(from https://doc.rust-lang.org/book/)
00:46:05	3620/3620	---MCZ	200	added ('OK')	text/css	etag:W/%228e4c40b0f04d1d238210b39520bf3050%22	https://doc.rust-lang.org/book/fonts/fonts.css	./rust-book/doc.rust-lang.org/book/fonts/fonts.css	(from https://doc.rust-lang.org/book/)
00:46:06	1197/1197	---MCZ	200	added ('OK')	text/css	etag:W/%2294dc6271709a034f14ed3c56745655ba%22	https://doc.rust-lang.org/book/highlight.css	./rust-book/doc.rust-lang.org/book/highlight.css	(from https://doc.rust-lang.org/book/)
00:46:07	1667/1667	---MCZ	200	added ('OK')	text/css	etag:W/%224e5071827927f86679ceab4cf35626b3%22	https://doc.rust-lang.org/book/tomorrow-night.css	./rust-book/doc.rust-lang.org/book/tomorrow-night.css	(from https://doc.rust-lang.org/book/)
00:46:07	929/929	---M--	200	added ('OK')	text/css	etag:%2292c6801ffe9b40c5fc88d7a679a16050%22	https://doc.rust-lang.org/book/ayu-highlight.css	./rust-book/doc.rust-lang.org/book/ayu-highlight.css	(from https://doc.rust-lang.org/book/)
00:46:08	726/726	---M--	200	added ('OK')	text/css	etag:%22ada8d4b4987ab67640537e0c343db25b%22	https://doc.rust-lang.org/book/ferris.css	./rust-book/doc.rust-lang.org/book/ferris.css	(from https://doc.rust-lang.org/book/)
00:46:09	129/129	---M--	200	added ('OK')	text/css	etag:%2203f786f5e59d47b061df650ed23802a2%22	https://doc.rust-lang.org/book/theme/2018-edition.css	./rust-book/doc.rust-lang.org/book/theme/2018-edition.css	(from https://doc.rust-lang.org/book/)
00:46:10	431/431	---M--	200	added ('OK')	text/css	etag:%2254567bbff5892f27fd18a54e3872a3ed%22	https://doc.rust-lang.org/book/theme/semantic-notes.css	./rust-book/doc.rust-lang.org/book/theme/semantic-notes.css	(from https://doc.rust-lang.org/book/)
00:46:11	102/102	---M--	200	added ('OK')	text/css	etag:%22b0d205c8e5e93378f2d74797afcbc845%22	https://doc.rust-lang.org/book/theme/listing.css	./rust-book/doc.rust-lang.org/book/theme/listing.css	(from https://doc.rust-lang.org/book/)
00:46:12	28616/28616	---MCZ	200	added ('OK')	text/html	etag:W/%22fb1976d035cc0f6a7da45a9625a6b762%22	https://doc.rust-lang.org/book/title-page.html	./rust-book/doc.rust-lang.org/book/title-page.html	(from https://doc.rust-lang.org/book/)
00:46:13	30358/30358	---MCZ	200	added ('OK')	text/html	etag:W/%2263ac346a92630a8b82de3c528c4b7bc9%22	https://doc.rust-lang.org/book/foreword.html	./rust-book/doc.rust-lang.org/book/foreword.html	(from https://doc.rust-lang.org/book/)
00:46:15	39140/39140	---MCZ	200	added ('OK')	text/html	etag:W/%22712844309f3e9362c643052936071471%22	https://doc.rust-lang.org/book/ch00-00-introduction.html	./rust-book/doc.rust-lang.org/book/ch00-00-introduction.html	(from https://doc.rust-lang.org/book/)
00:46:16	28364/28364	---MCZ	200	added ('OK')	text/html	etag:W/%2232f916f3526f98f6414ee9635d7afd91%22	https://doc.rust-lang.org/book/ch01-00-getting-started.html	./rust-book/doc.rust-lang.org/book/ch01-00-getting-started.html	(from https://doc.rust-lang.org/book/)
00:46:17	34068/34068	---MCZ	200	added ('OK')	text/html	etag:W/%2241cf94840d96dbb488bc1b6101703e58%22	https://doc.rust-lang.org/book/ch01-01-installation.html	./rust-book/doc.rust-lang.org/book/ch01-01-installation.html	(from https://doc.rust-lang.org/book/)
00:46:18	37102/37102	---MCZ	200	added ('OK')	text/html	etag:W/%222166129acad8587552231048fa265c6c%22	https://doc.rust-lang.org/book/ch01-02-hello-world.html	./rust-book/doc.rust-lang.org/book/ch01-02-hello-world.html	(from https://doc.rust-lang.org/book/)
00:46:19	40670/40670	---MCZ	200	added ('OK')	text/html	etag:W/%22c89b43651c47e3d12dad0924d7a5060f%22	https://doc.rust-lang.org/book/ch01-03-hello-cargo.html	./rust-book/doc.rust-lang.org/book/ch01-03-hello-cargo.html	(from https://doc.rust-lang.org/book/)
00:46:20	87730/87730	---MCZ	200	added ('OK')	text/html	etag:W/%22c38cc7af1a629bb3eb16147e5f0c296d%22	https://doc.rust-lang.org/book/ch02-00-guessing-game-tutorial.html	./rust-book/doc.rust-lang.org/book/ch02-00-guessing-game-tutorial.html	(from https://doc.rust-lang.org/book/)
00:46:21	29374/29374	---MCZ	200	added ('OK')	text/html	etag:W/%2223d1f49acebd453d8fb1eb4a06701a22%22	https://doc.rust-lang.org/book/ch03-00-common-programming-concepts.html	./rust-book/doc.rust-lang.org/book/ch03-00-common-programming-concepts.html	(from https://doc.rust-lang.org/book/)
00:46:22	39923/39923	---MCZ	200	added ('OK')	text/html	etag:W/%228b60549fa14f4bb68b87e353f21a7553%22	https://doc.rust-lang.org/book/ch03-01-variables-and-mutability.html	./rust-book/doc.rust-lang.org/book/ch03-01-variables-and-mutability.html	(from https://doc.rust-lang.org/book/)
00:46:23	50225/50225	---MCZ	200	added ('OK')	text/html	etag:W/%229f37badf2b6c7430a1398ba0a6c74b34%22	https://doc.rust-lang.org/book/ch03-02-data-types.html	./rust-book/doc.rust-lang.org/book/ch03-02-data-types.html	(from https://doc.rust-lang.org/book/)
00:46:24	42533/42533	---MCZ	200	added ('OK')	text/html	etag:W/%22243384c5972c9b8a8e153a0d8ac33dbe%22	https://doc.rust-lang.org/book/ch03-03-how-functions-work.html	./rust-book/doc.rust-lang.org/book/ch03-03-how-functions-work.html	(from https://doc.rust-lang.org/book/)
00:46:25	30020/30020	---MCZ	200	added ('OK')	text/html	etag:W/%22a9c3d8b55777e700fa68402611ed47c3%22	https://doc.rust-lang.org/book/ch03-04-comments.html	./rust-book/doc.rust-lang.org/book/ch03-04-comments.html	(from https://doc.rust-lang.org/book/)
00:46:26	51467/51467	---MCZ	200	added ('OK')	text/html	etag:W/%22f16baa377b0474c3b264b9d5b838d515%22	https://doc.rust-lang.org/book/ch03-05-control-flow.html	./rust-book/doc.rust-lang.org/book/ch03-05-control-flow.html	(from https://doc.rust-lang.org/book/)
00:46:27	28448/28448	---MCZ	200	added ('OK')	text/html	etag:W/%2227cc084071b0fe990e6d8fd4f0cbbbd6%22	https://doc.rust-lang.org/book/ch04-00-understanding-ownership.html	./rust-book/doc.rust-lang.org/book/ch04-00-understanding-ownership.html	(from https://doc.rust-lang.org/book/)
00:46:28	59882/59882	---MCZ	200	added ('OK')	text/html	etag:W/%22ab5636e493636b833a9bd5ffbeeb258d%22	https://doc.rust-lang.org/book/ch04-01-what-is-ownership.html	./rust-book/doc.rust-lang.org/book/ch04-01-what-is-ownership.html	(from https://doc.rust-lang.org/book/)
00:46:28	45398/45398	---MCZ	200	added ('OK')	text/html	etag:W/%22132a2e57e8c70872ff02981f01005e69%22	https://doc.rust-lang.org/book/ch04-02-references-and-borrowing.html	./rust-book/doc.rust-lang.org/book/ch04-02-references-and-borrowing.html	(from https://doc.rust-lang.org/book/)
00:46:30	51440/51440	---MCZ	200	added ('OK')	text/html	etag:W/%229dd241a5204e0584e0b53c455fa03b06%22	https://doc.rust-lang.org/book/ch04-03-slices.html	./rust-book/doc.rust-lang.org/book/ch04-03-slices.html	(from https://doc.rust-lang.org/book/)
00:46:30	28971/28971	---MCZ	200	added ('OK')	text/html	etag:W/%22eaa29f7e875f339c3df1fa326c59c08c%22	https://doc.rust-lang.org/book/ch05-00-structs.html	./rust-book/doc.rust-lang.org/book/ch05-00-structs.html	(from https://doc.rust-lang.org/book/)
00:46:32	47611/47611	---MCZ	200	added ('OK')	text/html	etag:W/%22693970657f945c3240e13a0f1d9feda1%22	https://doc.rust-lang.org/book/ch05-01-defining-structs.html	./rust-book/doc.rust-lang.org/book/ch05-01-defining-structs.html	(from https://doc.rust-lang.org/book/)
00:46:33	43819/43819	---MCZ	200	added ('OK')	text/html	etag:W/%22f51a268c2b8d34473aa860d103590802%22	https://doc.rust-lang.org/book/ch05-02-example-structs.html	./rust-book/doc.rust-lang.org/book/ch05-02-example-structs.html	(from https://doc.rust-lang.org/book/)
00:46:33	47276/47276	---MCZ	200	added ('OK')	text/html	etag:W/%22d590985694d804a07122cf444c3ca739%22	https://doc.rust-lang.org/book/ch05-03-method-syntax.html	./rust-book/doc.rust-lang.org/book/ch05-03-method-syntax.html	(from https://doc.rust-lang.org/book/)
00:46:34	28778/28778	---MCZ	200	added ('OK')	text/html	etag:W/%22f3c5ab9f0e499fc9bea13732e2cefb2d%22	https://doc.rust-lang.org/book/ch06-00-enums.html	./rust-book/doc.rust-lang.org/book/ch06-00-enums.html	(from https://doc.rust-lang.org/book/)
00:46:36	50579/50579	---MCZ	200	added ('OK')	text/html	etag:W/%221997e4149f92f94f7bdd122034a4c7eb%22	https://doc.rust-lang.org/book/ch06-01-defining-an-enum.html	./rust-book/doc.rust-lang.org/book/ch06-01-defining-an-enum.html	(from https://doc.rust-lang.org/book/)
00:46:37	48030/48030	---MCZ	200	added ('OK')	text/html	etag:W/%229d3aa717d3e5dd76d7ccc730737b1cd8%22	https://doc.rust-lang.org/book/ch06-02-match.html	./rust-book/doc.rust-lang.org/book/ch06-02-match.html	(from https://doc.rust-lang.org/book/)
00:46:38	34687/34687	---MCZ	200	added ('OK')	text/html	etag:W/%22991b20af8ce091d8c6ff63608a22fb23%22	https://doc.rust-lang.org/book/ch06-03-if-let.html	./rust-book/doc.rust-lang.org/book/ch06-03-if-let.html	(from https://doc.rust-lang.org/book/)
00:46:39	31161/31161	---MCZ	200	added ('OK')	text/html	etag:W/%2261d4ccb34d7135f39c1ee48fb8fecefb%22	https://doc.rust-lang.org/book/ch07-00-managing-growing-projects-with-packages-crates-and-modules.html	./rust-book/doc.rust-lang.org/book/ch07-00-managing-growing-projects-with-packages-crates-and-modules.html	(from https://doc.rust-lang.org/book/)
00:46:40	37358/37358	---MCZ	200	added ('OK')	text/html	etag:W/%22e9ba5f79a1a32792008a97021993d3fb%22	https://doc.rust-lang.org/book/ch07-02-defining-modules-to-control-scope-and-privacy.html	./rust-book/doc.rust-lang.org/book/ch07-02-defining-modules-to-control-scope-and-privacy.html	(from https://doc.rust-lang.org/book/)
00:46:40	32325/32325	---MCZ	200	added ('OK')	text/html	etag:W/%22907ef1d7c40da6ba4894b82cde23d921%22	https://doc.rust-lang.org/book/ch07-01-packages-and-crates.html	./rust-book/doc.rust-lang.org/book/ch07-01-packages-and-crates.html	(from https://doc.rust-lang.org/book/)
